Region        Service        Service Description    Limit Description                                                 Limit Name                                         Scope    Availability Domain          Service Limit      Limit Available    Limit Used  % of Limit Used
us-ashburn-1  compute        Compute                Cores for DenseIO.E4 based VM and BM Instances                    dense-io-e4-core-count                             AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DenseIO.E4 based VM and BM Instances                    dense-io-e4-core-count                             AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DenseIO.E4 based VM and BM Instances                    dense-io-e4-core-count                             AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable Cores for E4 Dense IO based VM and BM Instances        dense-io-e4-core-count-reservable                  AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable Cores for E4 Dense IO based VM and BM Instances        dense-io-e4-core-count-reservable                  AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable Cores for E4 Dense IO based VM and BM Instances        dense-io-e4-core-count-reservable                  AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reserved Cores for E4 Dense IO based VM and BM Instances          dense-io-e4-core-reserved-count                    AD       iIhj:US-ASHBURN-AD-1            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Reserved Cores for E4 Dense IO based VM and BM Instances          dense-io-e4-core-reserved-count                    AD       iIhj:US-ASHBURN-AD-2            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Reserved Cores for E4 Dense IO based VM and BM Instances          dense-io-e4-core-reserved-count                    AD       iIhj:US-ASHBURN-AD-3            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Memory for DenseIO.E4 based VM and BM Instances                   dense-io-e4-memory-count                           AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Memory for DenseIO.E4 based VM and BM Instances                   dense-io-e4-memory-count                           AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Memory for DenseIO.E4 based VM and BM Instances                   dense-io-e4-memory-count                           AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable Memory for E4 Dense IO based VM and BM Instances       dense-io-e4-memory-count-reservable                AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable Memory for E4 Dense IO based VM and BM Instances       dense-io-e4-memory-count-reservable                AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable Memory for E4 Dense IO based VM and BM Instances       dense-io-e4-memory-count-reservable                AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reserved Memory for E4 Dense IO based VM and BM Instances         dense-io-e4-memory-reserved-count                  AD       iIhj:US-ASHBURN-AD-1            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Reserved Memory for E4 Dense IO based VM and BM Instances         dense-io-e4-memory-reserved-count                  AD       iIhj:US-ASHBURN-AD-2            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Reserved Memory for E4 Dense IO based VM and BM Instances         dense-io-e4-memory-reserved-count                  AD       iIhj:US-ASHBURN-AD-3            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Cores for DenseIO1 based VM and BM Instances                      dense-io1-core-count                               AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DenseIO1 based VM and BM Instances                      dense-io1-core-count                               AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DenseIO1 based VM and BM Instances                      dense-io1-core-count                               AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable Cores for DenseIO1 based VM and BM Instances           dense-io1-core-count-reservable                    AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable Cores for DenseIO1 based VM and BM Instances           dense-io1-core-count-reservable                    AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable Cores for DenseIO1 based VM and BM Instances           dense-io1-core-count-reservable                    AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reserved Cores for DenseIO1 based VM and BM Instances             dense-io1-core-reserved-count                      AD       iIhj:US-ASHBURN-AD-1            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Reserved Cores for DenseIO1 based VM and BM Instances             dense-io1-core-reserved-count                      AD       iIhj:US-ASHBURN-AD-2            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Reserved Cores for DenseIO1 based VM and BM Instances             dense-io1-core-reserved-count                      AD       iIhj:US-ASHBURN-AD-3            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Cores for DenseIO2 based VM and BM Instances                      dense-io2-core-count                               AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DenseIO2 based VM and BM Instances                      dense-io2-core-count                               AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DenseIO2 based VM and BM Instances                      dense-io2-core-count                               AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable Cores for DenseIO2 based VM and BM Instances           dense-io2-core-count-reservable                    AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable Cores for DenseIO2 based VM and BM Instances           dense-io2-core-count-reservable                    AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable Cores for DenseIO2 based VM and BM Instances           dense-io2-core-count-reservable                    AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reserved Cores for DenseIO2 based VM and BM Instances             dense-io2-core-reserved-count                      AD       iIhj:US-ASHBURN-AD-1            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Reserved Cores for DenseIO2 based VM and BM Instances             dense-io2-core-reserved-count                      AD       iIhj:US-ASHBURN-AD-2            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Reserved Cores for DenseIO2 based VM and BM Instances             dense-io2-core-reserved-count                      AD       iIhj:US-ASHBURN-AD-3            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Cores for DVH.DenseIO2.52 Instances                               dvh-dense-io2-core-count                           AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.DenseIO2.52 Instances                               dvh-dense-io2-core-count                           AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.DenseIO2.52 Instances                               dvh-dense-io2-core-count                           AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Optimized3.36 Instances                             dvh-optimized3-core-count                          AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Optimized3.36 Instances                             dvh-optimized3-core-count                          AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Optimized3.36 Instances                             dvh-optimized3-core-count                          AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard.E2.64 Instances                            dvh-standard-e2-core-count                         AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard.E2.64 Instances                            dvh-standard-e2-core-count                         AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard.E2.64 Instances                            dvh-standard-e2-core-count                         AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard.E3.128 Instances                           dvh-standard-e3-core-count                         AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard.E3.128 Instances                           dvh-standard-e3-core-count                         AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard.E3.128 Instances                           dvh-standard-e3-core-count                         AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard.E4.128 Instances                           dvh-standard-e4-core-count                         AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard.E4.128 Instances                           dvh-standard-e4-core-count                         AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard.E4.128 Instances                           dvh-standard-e4-core-count                         AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                DVH.Standard2.52                                                  dvh-standard2-52-count                             AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                DVH.Standard2.52                                                  dvh-standard2-52-count                             AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                DVH.Standard2.52                                                  dvh-standard2-52-count                             AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard2.52 Instances                              dvh-standard2-core-count                           AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard2.52 Instances                              dvh-standard2-core-count                           AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard2.52 Instances                              dvh-standard2-core-count                           AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard3.64 Instances                              dvh-standard3-core-count                           AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard3.64 Instances                              dvh-standard3-core-count                           AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Cores for DVH.Standard3.64 Instances                              dvh-standard3-core-count                           AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable GPUs for GPU.A10 based VM and BM Instances             gpu-a10-core-count-reservable                      AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable GPUs for GPU.A10 based VM and BM Instances             gpu-a10-core-count-reservable                      AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable GPUs for GPU.A10 based VM and BM Instances             gpu-a10-core-count-reservable                      AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                GPUs for GPU.A10 based VM and BM Instances                        gpu-a10-count                                      AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                GPUs for GPU.A10 based VM and BM Instances                        gpu-a10-count                                      AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                GPUs for GPU.A10 based VM and BM Instances                        gpu-a10-count                                      AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reserved GPUs for GPU.A10 based VM and BM Instances               gpu-a10-reserved-count                             AD       iIhj:US-ASHBURN-AD-1            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Reserved GPUs for GPU.A10 based VM and BM Instances               gpu-a10-reserved-count                             AD       iIhj:US-ASHBURN-AD-2            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Reserved GPUs for GPU.A10 based VM and BM Instances               gpu-a10-reserved-count                             AD       iIhj:US-ASHBURN-AD-3            1000000000           1000000000             0  0.00
us-ashburn-1  compute        Compute                Reservable GPUs for GPU.A100 based VM and BM Instances            gpu-a100-v2-core-count-reservable                  AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable GPUs for GPU.A100 based VM and BM Instances            gpu-a100-v2-core-count-reservable                  AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  compute        Compute                Reservable GPUs for GPU.A100 based VM and BM Instances            gpu-a100-v2-core-count-reservable                  AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  database       Database               Autonomous Data Warehouse (Dedicated) ECPU Count                  adw-dedicated-ecpu-count                           AD       iIhj:US-ASHBURN-AD-1                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Data Warehouse (Dedicated) ECPU Count                  adw-dedicated-ecpu-count                           AD       iIhj:US-ASHBURN-AD-2                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Data Warehouse (Dedicated) ECPU Count                  adw-dedicated-ecpu-count                           AD       iIhj:US-ASHBURN-AD-3                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Data Warehouse (Dedicated) OCPU Count                  adw-dedicated-ocpu-count                           AD       iIhj:US-ASHBURN-AD-1   9223372036854775807  9223372036854775807             0  0.00
us-ashburn-1  database       Database               Autonomous Data Warehouse (Dedicated) OCPU Count                  adw-dedicated-ocpu-count                           AD       iIhj:US-ASHBURN-AD-2   9223372036854775807  9223372036854775807             0  0.00
us-ashburn-1  database       Database               Autonomous Data Warehouse (Dedicated) OCPU Count                  adw-dedicated-ocpu-count                           AD       iIhj:US-ASHBURN-AD-3   9223372036854775807  9223372036854775807             0  0.00
us-ashburn-1  database       Database               Autonomous  Data Warehouse (Dedicated) total storage (GB)         adw-dedicated-total-storage-tb                     AD       iIhj:US-ASHBURN-AD-1   9223372036854775807  9223372036854775807             0  0.00
us-ashburn-1  database       Database               Autonomous  Data Warehouse (Dedicated) total storage (GB)         adw-dedicated-total-storage-tb                     AD       iIhj:US-ASHBURN-AD-2   9223372036854775807  9223372036854775807             0  0.00
us-ashburn-1  database       Database               Autonomous  Data Warehouse (Dedicated) total storage (GB)         adw-dedicated-total-storage-tb                     AD       iIhj:US-ASHBURN-AD-3   9223372036854775807  9223372036854775807             0  0.00
us-ashburn-1  database       Database               Autonomous Data Warehouse (ExaCC) ECPU Count                      adw-exacc-ecpu-count                               AD       iIhj:US-ASHBURN-AD-1                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Data Warehouse (ExaCC) ECPU Count                      adw-exacc-ecpu-count                               AD       iIhj:US-ASHBURN-AD-2                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Data Warehouse (ExaCC) ECPU Count                      adw-exacc-ecpu-count                               AD       iIhj:US-ASHBURN-AD-3                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Data Warehouse (ExaCC) OCPU Count                      adw-exacc-ocpu-count                               AD       iIhj:US-ASHBURN-AD-1                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Data Warehouse (ExaCC) OCPU Count                      adw-exacc-ocpu-count                               AD       iIhj:US-ASHBURN-AD-2                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Data Warehouse (ExaCC) OCPU Count                      adw-exacc-ocpu-count                               AD       iIhj:US-ASHBURN-AD-3                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Data Warehouse (ExaCC) total storage (TB)              adw-exacc-total-storage-tb                         AD       iIhj:US-ASHBURN-AD-1                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Data Warehouse (ExaCC) total storage (TB)              adw-exacc-total-storage-tb                         AD       iIhj:US-ASHBURN-AD-2                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Data Warehouse (ExaCC) total storage (TB)              adw-exacc-total-storage-tb                         AD       iIhj:US-ASHBURN-AD-3                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (Dedicated) ECPU Count          atp-dedicated-ecpu-count                           AD       iIhj:US-ASHBURN-AD-1                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (Dedicated) ECPU Count          atp-dedicated-ecpu-count                           AD       iIhj:US-ASHBURN-AD-2                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (Dedicated) ECPU Count          atp-dedicated-ecpu-count                           AD       iIhj:US-ASHBURN-AD-3                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (Dedicated) OCPU count          atp-dedicated-ocpu-count                           AD       iIhj:US-ASHBURN-AD-1   9223372036854775807  9223372036854775807             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (Dedicated) OCPU count          atp-dedicated-ocpu-count                           AD       iIhj:US-ASHBURN-AD-2   9223372036854775807  9223372036854775807             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (Dedicated) OCPU count          atp-dedicated-ocpu-count                           AD       iIhj:US-ASHBURN-AD-3   9223372036854775807  9223372036854775807             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (Dedicated) total storage (GB)  atp-dedicated-total-storage-tb                     AD       iIhj:US-ASHBURN-AD-1   9223372036854775807  9223372036854775807             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (Dedicated) total storage (GB)  atp-dedicated-total-storage-tb                     AD       iIhj:US-ASHBURN-AD-2   9223372036854775807  9223372036854775807             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (Dedicated) total storage (GB)  atp-dedicated-total-storage-tb                     AD       iIhj:US-ASHBURN-AD-3   9223372036854775807  9223372036854775807             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (ExaCC) ECPU Count              atp-exacc-ecpu-count                               AD       iIhj:US-ASHBURN-AD-1                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (ExaCC) ECPU Count              atp-exacc-ecpu-count                               AD       iIhj:US-ASHBURN-AD-2                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (ExaCC) ECPU Count              atp-exacc-ecpu-count                               AD       iIhj:US-ASHBURN-AD-3                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (ExaCC) OCPU Count              atp-exacc-ocpu-count                               AD       iIhj:US-ASHBURN-AD-1                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (ExaCC) OCPU Count              atp-exacc-ocpu-count                               AD       iIhj:US-ASHBURN-AD-2                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (ExaCC) OCPU Count              atp-exacc-ocpu-count                               AD       iIhj:US-ASHBURN-AD-3                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (ExaCC) total storage (TB)      atp-exacc-total-storage-tb                         AD       iIhj:US-ASHBURN-AD-1                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (ExaCC) total storage (TB)      atp-exacc-total-storage-tb                         AD       iIhj:US-ASHBURN-AD-2                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous Transaction Processing (ExaCC) total storage (TB)      atp-exacc-total-storage-tb                         AD       iIhj:US-ASHBURN-AD-3                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous VM Cluster (ExaCC) Count                               autonomous-vm-cluster-count                        AD       iIhj:US-ASHBURN-AD-1                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous VM Cluster (ExaCC) Count                               autonomous-vm-cluster-count                        AD       iIhj:US-ASHBURN-AD-2                100000               100000             0  0.00
us-ashburn-1  database       Database               Autonomous VM Cluster (ExaCC) Count                               autonomous-vm-cluster-count                        AD       iIhj:US-ASHBURN-AD-3                100000               100000             0  0.00
us-ashburn-1  database       Database               BM.DenseIO1.36 Instance Count                                     bm-dense-io1-36-count                              AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  database       Database               BM.DenseIO1.36 Instance Count                                     bm-dense-io1-36-count                              AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  database       Database               BM.DenseIO1.36 Instance Count                                     bm-dense-io1-36-count                              AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  database       Database               BM.DenseIO2.52 Instance Count                                     bm-dense-io2-52-count                              AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  database       Database               BM.DenseIO2.52 Instance Count                                     bm-dense-io2-52-count                              AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
us-ashburn-1  database       Database               BM.DenseIO2.52 Instance Count                                     bm-dense-io2-52-count                              AD       iIhj:US-ASHBURN-AD-3                     0                    0             0  n/a
us-ashburn-1  database       Database               Exadata.Base.48 Instance Count                                    exadata-base-48-count                              AD       iIhj:US-ASHBURN-AD-1                     0                    0             0  n/a
us-ashburn-1  database       Database               Exadata.Base.48 Instance Count                                    exadata-base-48-count                              AD       iIhj:US-ASHBURN-AD-2                     0                    0             0  n/a
